^VOX,^VCR,^VDC,^VDE,^VFH,^VHT,^VIS,^VGT,^VAW,^VNQ,^VPU,^VIX,sp500,label
47.37,32.79,53.73,65.79,20.5,41.62,36.66,37.74,47.46,28.13,54.36,39.7,842.5,0
47.04,32.44,53.62,64.48,20.04,41.84,36.76,37.24,46.57,27.81,53.8,40.93,835.48,1
45.67,31.37,52.74,62.13,19.42,41.41,35.6,36.32,44.96,25.73,53.5,40.39,815.55,0
45.83,32.22,53.37,63.4,19.55,41.81,35.81,36.92,45.66,26.11,54.19,38.85,825.16,0
47.37,33.67,53.58,65.38,22.16,42.2,37.89,38.16,47.81,29.61,54.32,36.53,856.56,0
47.24,33.63,53.47,64.78,23.03,42.32,37.84,38.03,48.3,29.7,53.66,37.81,858.73,1
45.99,32.87,52.65,64.17,21.48,42.33,37.14,37.62,47.21,27.18,52.91,37.67,841.5,0
46.63,33.08,53.4,64.56,22.47,42.49,37.79,37.44,48.16,29.54,53.57,36.17,852.06,0
47.14,34.28,54.11,64.97,22.58,42.7,38.92,38.54,48.58,30.53,53.8,35.79,865.3,0
47.1,34.78,54.48,65.76,22.96,43.11,39.09,38.59,48.75,31.08,53.92,33.94,869.6,1
45.12,33.33,53.45,62.4,20.56,42.21,37.12,37.38,46.18,27.88,53.19,39.18,832.39,0
45.77,34.04,53.67,63.96,22.01,41.89,38.15,38.06,47.4,30.35,53.37,37.14,850.08,0
45.7,34.34,53.15,63.16,21.39,41.41,38.68,38.22,47.8,29.29,52.8,38.1,843.55,0
45.68,34.44,53.01,64.43,22,41.39,39.01,38.34,47.81,30.61,52.9,37.15,851.92,0
46.14,35.28,53.06,66.67,22.54,41.51,39.84,39.24,49.87,32.06,52.77,36.82,866.23,0
46.14,34.69,53.28,65.07,22.07,42.01,39.26,39.01,49,30.14,53.29,38.32,857.51,0
46.23,34.8,53.5,65.16,21.93,42.1,38.82,38.73,48.52,30.54,53.45,37.95,855.16,0
46.92,35.5,54.36,67.04,22.55,42.48,40,39.58,49.81,31.87,53.93,36.08,873.64,0
46.98,35.98,54.4,65.9,22.4,42.31,40.34,39.79,51.01,31.73,54.01,36.5,872.81,0
47.32,35.79,54.56,68.16,22.1,42.21,40.66,40.05,50.96,30.69,55.13,35.3,877.52,0
48.6,37.04,55.51,70.95,23.97,43.04,42.15,40.78,54.09,33.22,56.04,34.53,907.24,0
48.89,37.19,55.27,70.05,23.64,43.33,42.13,40.6,53.88,31.98,55.82,33.36,903.8,0
49.25,37.37,55.41,72.67,25.13,43.09,42.72,40.62,53.96,33.2,55.72,32.45,919.53,0
